line 1 :(SYM , {)
line 2 :(KEY , int)
line 2 :(ID , a)
line 2 :(SYM , ;)
line 2 :(KEY , int)
line 2 :(ID , b)
line 2 :(SYM , ;)
line 2 :(KEY , int)
line 2 :(ID , c)
line 2 :(SYM , ;)
line 3 :(SYM , for)
line 3 :(SYM , ()
line 3 :(ID , a)
line 3 :(SYM , =)
line 3 :(ID , b)
line 3 :(SYM , ;)
line 3 :(ID , a)
line 3 :(SYM , <)
line 3 :(ID , c)
line 3 :(SYM , ;)
line 3 :(ID , a)
line 3 :(SYM , =)
line 3 :(ID , a)
line 3 :(SYM , +)
line 3 :(NUM , 1)
line 3 :(SYM , ;)
line 3 :(SYM , ))
line 3 :(ID , b)
line 3 :(SYM , =)
line 3 :(ID , b)
line 3 :(SYM , -)
line 3 :(NUM , 1)
line 3 :(SYM , ;)
line 4 :(SYM , })
line 5 :(SYM , {)
line 6 :(KEY , int)
line 6 :(ID , i)
line 6 :(SYM , ;)
line 6 :(KEY , int)
line 6 :(ID , j)
line 6 :(SYM , ;)
line 6 :(KEY , float)
line 6 :(ID , v)
line 6 :(SYM , ;)
line 6 :(KEY , float)
line 6 :(ID , x)
line 6 :(SYM , ;)
line 6 :(KEY , float)
line 6 :(SYM , [)
line 6 :(NUM , 100)
line 6 :(SYM , ])
line 6 :(ID , a)
line 6 :(SYM , ;)
line 6 :(KEY , int)
line 6 :(ID , t)
line 6 :(SYM , ;)
line 6 :(KEY , int)
line 6 :(ID , b)
line 6 :(SYM , ;)
line 6 :(KEY , int)
line 6 :(ID , c)
line 6 :(SYM , ;)
line 8 :(ID , i)
line 8 :(SYM , =)
line 8 :(NUM , 0)
line 8 :(SYM , ;)
line 9 :(ID , v)
line 9 :(SYM , =)
line 9 :(NUM , 1.120000)
line 9 :(SYM , ;)
line 10 :(ID , a)
line 10 :(SYM , =)
line 10 :(ID , v)
line 10 :(SYM , ;)
line 11 :(ID , v)
line 11 :(SYM , =)
line 11 :(ID , a)
line 11 :(SYM , ;)
line 12 :(ID , v)
line 12 :(SYM , =)
line 12 :(ID , i)
line 12 :(SYM , <)
line 12 :(ID , v)
line 12 :(SYM , ;)
line 13 :(SYM , for)
line 13 :(SYM , ()
line 13 :(ID , t)
line 13 :(SYM , =)
line 13 :(ID , b)
line 13 :(SYM , ;)
line 13 :(ID , t)
line 13 :(SYM , =)
line 13 :(ID , i)
line 13 :(SYM , ;)
line 13 :(ID , t)
line 13 :(SYM , =)
line 13 :(ID , t)
line 13 :(SYM , +)
line 13 :(NUM , 1)
line 13 :(SYM , ;)
line 13 :(SYM , ))
line 13 :(ID , b)
line 13 :(SYM , =)
line 13 :(ID , b)
line 13 :(SYM , -)
line 13 :(NUM , 1)
line 13 :(SYM , ;)
line 15 :(SYM , })
line 16 :(SYM , {)
line 17 :(KEY , int)
line 17 :(ID , i)
line 17 :(SYM , ;)
line 17 :(KEY , int)
line 17 :(ID , j)
line 17 :(SYM , ;)
line 17 :(KEY , float)
line 17 :(ID , v)
line 17 :(SYM , ;)
line 17 :(KEY , float)
line 17 :(ID , x)
line 17 :(SYM , ;)
line 17 :(KEY , float)
line 17 :(SYM , [)
line 17 :(NUM , 100)
line 17 :(SYM , ])
line 17 :(ID , a)
line 17 :(SYM , ;)
line 19 :(ID , i)
line 19 :(SYM , =)
line 19 :(NUM , 0)
line 19 :(SYM , ;)
line 20 :(ID , v)
line 20 :(SYM , =)
line 20 :(NUM , 1.120000)
line 20 :(SYM , ;)
line 22 :(KEY , while)
line 22 :(SYM , ()
line 22 :(KEY , true)
line 22 :(SYM , ))
line 22 :(SYM , {)
line 23 :(KEY , do)
line 23 :(ID , i)
line 23 :(SYM , =)
line 23 :(ID , i)
line 23 :(SYM , +)
line 23 :(NUM , 1)
line 23 :(SYM , ;)
line 23 :(KEY , while)
line 23 :(SYM , ()
line 23 :(ID , a)
line 23 :(SYM , [)
line 23 :(ID , i)
line 23 :(SYM , ])
line 23 :(SYM , <)
line 23 :(ID , v)
line 23 :(SYM , ))
line 23 :(SYM , ;)
line 24 :(KEY , do)
line 24 :(ID , j)
line 24 :(SYM , =)
line 24 :(ID , j)
line 24 :(SYM , +)
line 24 :(NUM , 1)
line 24 :(SYM , ;)
line 24 :(KEY , while)
line 24 :(SYM , ()
line 24 :(ID , a)
line 24 :(SYM , [)
line 24 :(ID , j)
line 24 :(SYM , ])
line 24 :(SYM , >)
line 24 :(ID , v)
line 24 :(SYM , ))
line 24 :(SYM , ;)
line 25 :(KEY , if)
line 25 :(SYM , ()
line 25 :(ID , i)
line 25 :(SYM , >=)
line 25 :(SYM , =)
line 25 :(ID , j)
line 25 :(SYM , ))
line 25 :(KEY , break)
line 25 :(SYM , ;)
line 26 :(ID , x)
line 26 :(SYM , =)
line 26 :(ID , a)
line 26 :(SYM , [)
line 26 :(ID , i)
line 26 :(SYM , ])
line 26 :(SYM , ;)
line 26 :(ID , a)
line 26 :(SYM , [)
line 26 :(ID , i)
line 26 :(SYM , ])
line 26 :(SYM , =)
line 26 :(ID , a)
line 26 :(SYM , [)
line 26 :(ID , j)
line 26 :(SYM , ])
line 26 :(SYM , ;)
line 26 :(ID , a)
line 26 :(SYM , [)
line 26 :(ID , j)
line 26 :(SYM , ])
line 26 :(SYM , =)
line 26 :(ID , x)
line 26 :(SYM , ;)
line 28 :(SYM , for)
line 28 :(SYM , ()
line 28 :(ID , i)
line 28 :(SYM , =)
line 28 :(ID , j)
line 28 :(SYM , ;)
line 28 :(ID , i)
line 28 :(SYM , >=)
line 28 :(SYM , =)
line 28 :(NUM , 17)
line 28 :(SYM , ;)
line 28 :(ID , i)
line 28 :(SYM , =)
line 28 :(ID , i)
line 28 :(SYM , -)
line 28 :(NUM , 1)
line 28 :(SYM , ;)
line 28 :(SYM , ))
line 28 :(SYM , {)
line 29 :(ID , a)
line 29 :(SYM , [)
line 29 :(ID , i)
line 29 :(SYM , ])
line 29 :(SYM , =)
line 29 :(NUM , 9)
line 29 :(SYM , ;)
line 30 :(SYM , })
line 31 :(SYM , })
line 32 :(SYM , })
line 34 :(SYM , #)
